video_index,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
1,295000,18270143,903187,Reacting to the Five Nights at Freddy's Movie Trailer,"Trailer: https://www.youtube.com/watch?v=0VH9WCFV6XQ

Join ► http://bit.ly/1vKSGtU
Tiktok ► https://www.tiktok.com/@notcoryxkenshin
Twitter ► https://twitter.com/coryxkenshin
Instagram ► http://instagram.com/coryxkenshin

Music:
https://www.youtube.com/user/myuuji
https://incompetech.com/music/royalty-free/music.html

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. Be respectful. We are a community. That means more to me than anything. Thank you.

~CK

#coryxkenshin #fnaf",CoryxKenshin,,Gaming,423
2,100000,3969031,449915,30,"this video has no purpose other than for me to look back on 
thanks for being here
thanks for listening",CoryxKenshin,30 coryxkenshin cory kenshin birthday 2022 reminisce high school college talk vlog,Gaming,475
3,29000,4555735,373542,I Can't Hide This Any Longer,"https://coryxkenshin.com GOGOGOGO BEFORE IT SELLS OUT
https://coryxkenshin.com 
https://coryxkenshin.com
https://coryxkenshin.com
https://coryxkenshin.com

Song by Park: https://www.youtube.com/watch?v=CXOfiQhpXCM
Instrumental: https://www.youtube.com/watch?v=YNHSDDT3REE",CoryxKenshin,i cant hide this any longer cant hide this any longer coryxkenshin cory kenshin merch 2022 neo shogun collection,Gaming,937
4,130000,10211898,876158,Deleting My YouTube Channel.,Promise broken. Thank you for everything.,CoryxKenshin,deleting my youtube channel coryxkenshin cory kenshin 2022 delete deletion losing getting rid of resident evil village re8 upload failed challenge,Gaming,1159
5,94000,10396076,1181262,YouTube: Racism and Favoritism,Never in a million years did I think I would upload a video like this but here we are.,CoryxKenshin,youtube favoritism and racism coryxkenshin cory kenshin black youtube black unfair discrimination age restriction 2022,Gaming,838
6,188000,8220902,1011249,To The Samurai Community,"Hey, it's good to see you. This video is an open and sincere conversation about the state of the community, some issues I've seen within it, and my gratitude towards you all.",CoryxKenshin,coryxkenshin cory kenshin is back returns to the samurai community vlog 2022,Gaming,1434
7,33000,3977696,375979,I have an announcement. [10 MIL MERCH COLLECTION],"GOGOGOGO. https://coryxkenshin.com 
ANY OTHER WEBSITE SELLING CORY MERCH IS A SCAM.
https://coryxkenshin.com
https://coryxkenshin.com
https://coryxkenshin.com
https://coryxkenshin.com",CoryxKenshin,i have have an announcement coryxkenshin cory kenshin merch 10 million celebration collection represent vlog inspiration samurai shogun tribe game,People & Blogs,912
8,32000,3627802,422430,No Limits,"TL;DR - YOU HAVE NO LIMITS IN LIFE.

Join ► http://bit.ly/1vKSGtU
Twitter ► https://twitter.com/coryxkenshin
Instagram ► http://instagram.com/coryxkenshin
Official CoryxKenshin Merch ►
www.coryxkenshin.com

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. Be respectful. We are a community. That means more to me than anything. Thank you.

~CK

#coryxkenshin",CoryxKenshin,no limits coryxkenshin cory kenshin vlog talk speech inspiration youtuber 2021,People & Blogs,839
9,68000,5034797,619458,YouTube Gave Me A Strike & Won't Tell Me Why,Sorry to be a downer today but this is an issue with YouTube that needs to be discussed. This is a dialogue between creator and platform about communication or should I say lack thereof.,CoryxKenshin,youtube gave me strike and wont tell why discussion yt communication no coryxkenshin cory kenshin channel community guideline guidelines copyright strikes child safety,Gaming,669
11,440000,11916433,890001,9 Million. The Home Stretch.,This one is bittersweet. Thank you.,CoryxKenshin,,Gaming,525
