,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
1,12,19400,363,Funny Vines July 2024 (Part 1) TBT Clean Vine,New TBT Vine Videos with the Best Clean Vines of June,CooL Vines,Funny Vines Vine Vines best vines new vines july vines tbt vines clean vines vines july 2024 vines 2024,Entertainment,1144
2,94,377724,5263,Funny Vines July 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of July

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines July vines tbt vines clean vines vines July 2022,Entertainment,1265
3,80,242371,4564,Funny Vines April 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of April

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines April vines tbt vines clean vines vines April 2022,Entertainment,1165
4,37,163481,2738,Funny Vines March 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of March

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines March vines tbt vines clean vines vines March 2022,Entertainment,1261
5,77,212974,3639,Funny Vines March 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of March

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines March vines tbt vines clean vines vines March 2022,Entertainment,1548
6,64,219437,4470,Funny Vines April 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of April

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines April vines tbt vines clean vines vines April 2022,Entertainment,1043
7,196,1099620,15219,Funny Vines February 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of February

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines February vines tbt vines clean vines vines February 2022,Entertainment,1325
8,158,522792,9676,Funny Vines February 2022 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of February

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines February vines tbt vines clean vines vines February 2022,Entertainment,1549
9,105,362906,5590,Funny Vines January 2022 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of January

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines January vines tbt vines clean vines vines January 2022 vine compilation,Entertainment,1449
10,66,210527,3883,Funny Vines November 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of November

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines November vines tbt vines clean vines vines November 2021 vine compilation,Entertainment,1364
11,70,248329,4680,Funny Vines October 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of October

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines october vines tbt vines clean vines vines October 2021,Entertainment,1496
13,150,432640,7717,Funny Vines July 2021 (Part 2) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of July

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines july vines tbt vines clean vines vines july 2021,Entertainment,1312
14,115,516533,10159,Funny Vines July 2021 (Part 1) TBT Clean Vine,"New TBT Vine with the Best Clean Vines of July

Subscribe to CooL Vines ► http://goo.gl/AO95W6",CooL Vines,Funny Vines Vine Vines best vines new vines july vines tbt vines clean vines vines july 2021,Entertainment,1249
