,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
1,4300000,8751645121,54956225,Luis Fonsi - Despacito ft. Daddy Yankee,"“Despacito” disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/DOoUzFp 
“Imposible” disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/IMPOSIBLEFp
“Calypso” disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/CLYPSFp
Echame La Culpa disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/ELCFp


Best of Luis Fonsi / Lo mejor Luis Fonsi: https://goo.gl/KLWPSa 
Subscribe here: https://goo.gl/nkhcGc
Sigue a Luis Fonsi: 
Official Site: http://www.luisfonsi.com/ 
Facebook: https://www.facebook.com/luisfonsi/ 
Twitter: https://twitter.com/LuisFonsi 
Instagram: https://www.instagram.com/luisfonsi

#LuisFonsi #Despacito #Imposible #Calypso #EchamelaCulpa #NadaEsImposible #NothingisImpossible #LF


Music video by Luis Fonsi performing Despacito. (C) 2017 Universal Music Latino",Luis Fonsi,Luis Fonsi Despacito UMLE Latino Latin Pop Luis Fonsi Daddy Yankee Music Video Oficial Official Music Video #Despacito Zuleyka Rivera Super model Miss Universe Puerto Rico 한글자막 日本語字幕 subtítulos en español Türkçe Altyazılı Phụ đề tiếng Việt Subtitles in Tagalog Teks dalam Bahasa Indonesia उपशीर्षक हिंदी में Sarikata Dalam Bahasa Malaysia คำบรรยายภาษาไทย ルイス・フォンシ 루이스 폰시 路易斯方辛 路易斯冯西,Music,282
2,2300000,6710469143,45186342,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"Download the new Furious 7 Soundtrack Deluxe Version on iTunes here: https://apple.co/3paGCzN

See Wiz on tour http://wizkhalifa.com/tour

Tag ‪#‎SeeYouAgain‬ on Shazam and get an exclusive behind the scenes look at the music video!

Get official merch here: http://atlr.ec/OfficialWKMerchYT

Stream Furious 7 on Spotify: http://smarturl.it/streamFurious7

Listen on Apple Music: https://apple.co/3r503MR

Directed by: Marc Klasfeld

Follow Wiz:
►Subscribe to channel: http://goo.gl/y3Bnno
►Twitter - https://twitter.com/wizkhalifa
►Facebook - https://facebook.com/wizkhalifa
►Instagram - https://instagram.com/mistercap
►Soundcloud - https://soundcloud.com/wizkhalifa
►Website: http://wizkhalifa.com
►Taylor Gang: http://taylorgang.com

Follow Charlie Puth:
►Subscribe to channel: https://www.youtube.com/charlieputh
►Twitter - https://twitter.com/charlieputh
►Facebook - https://www.facebook.com/charlieputh
►Instagram - http://instagram.com/charlieputh
►Soundcloud - https://soundcloud.com/charlieputh
►Website: http://charlieputh.com/

Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack",Wiz Khalifa,Wiz Khalifa Blacc Hollywood Taylor Gang Atlantic Records hip hop wiz khalifa Pittsburgh Los Angeles taylorgangent TGOD taylor gang or die Furious 7 paul walker paul walker tribute See You Again (Composition) Fast & Furious 6 (Award-Winning Work) See you again vin diesel Michelle Rodriguez (Celebrity) charlie puth GRAMMYS,Music,237
3,1200000,6499341796,34496973,Ed Sheeran - Shape of You (Official Music Video),"The official music video for Ed Sheeran - Shape Of You

Taken from the studio album ÷ (divide) released in 2017, which featured the hit singles 'Castle on the Hill', 'Shape of You', 'Galway Girl', ‘Perfect’ & 'Happier'. 
 
Subscribe to the Ed Sheeran channel for all the best and latest official music videos, behind the scenes and live performances.  
http://bit.ly/SubscribeToEdSheeran 
 
See more official videos from Ed Sheeran here: 
https://www.youtube.com/watch?v=ryJgDL9jzKk&list=PLjp0AEEJ0-fGKG_3skl0e1FQlJfnx-TJz 

Listen to more from the album ÷ (divide): https://www.youtube.com/playlist?list=PLjp0AEEJ0-fGi7bkjrGhBLUF9NMraL9cL 
 
Follow Ed Sheeran on:
Instagram: http://instagram.com/teddysphotos
TikTok: https://www.tiktok.com/@edsheeran
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Discord: http://discord.gg/edsheeran
Official Website: http://edsheeran.com  
  
VIDEO CREDITS: 
Director|DOP: Jason Koenig
Producer: Honna Kimmerer
Production company: Anonymous Content
Exec Producer: Nina Soriano

Cinematography: Johnny Valencia, Ryan Haug 
Edited by: Johnny Valencia, Jason Koenig
Commissioner: Dan Curwin

Co-Starring: 
Jennie Pegouskie
Yama

-- | LYRICS |--

The club isn’t the best place to find a lover
So the bar is where I go 
Me and my friends at the table doing shots drinking fast and then we talk slow
you come over and start up a conversation with just me and trust me I’ll give it a chance now
Take my hand stop, put van the man on the jukebox and then we start to dance
And now I’m singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead
I may be crazy don’t mind me 
Say boy let’s not talk too much 
Grab on my waist and put that body on me
Come on now follow my lead
Come come on now follow my lead

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new
I’m in love with your body

Oh I X 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Every day discovering something brand new
I’m in love with the shape of you 

One week in we let the story begin
We’re going out on our first date
You and me are thrifty
So go all you can eat 
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family’s doing ok
leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
and I'm singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead 
I may be crazy, don’t mind me
Say boy let’s not talk too much 
Grab on my waist and put that body on me
Come on now follow my lead
Come come on now follow my lead

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new

Well I’m in love with your body
Oh I x 4 
I’m in love with your body
Oh I x 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Every day discovering something brand new
I’m in love with the shape of you 

Come on be my baby come on X 8

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new

Well I’m in love with your body
Come on be my baby come on X 6
Every day discovering something brand new
I’m in love with the shape of you 
 
About Ed Sheeran: 
Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing', ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Paulo Londra’, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’. 
 
#EdSheeran #ShapeOfYou #divide",Ed Sheeran,Ed Sheeran Shape Of You Ed Sheeran Shape Of You Shape Of You Song Ed Sheeran Official Video Shape Of You Official Video Ed Sheeran music Ed Sheeran Lyrics Shape Of You Lyrics Ed Sheeran 2017 divide Ed Sheeran divide Ed Sheeran third album Ed Sheeran 3rd album Ed Sheeran songs Pop Pop Music Ed Sheeran Ed Sheerin EdSheeran Ed Sheran English Songs English Song i'm in love with the shape of you i'm in love with your body एड शीरन तुम्हारी सूरत,Music,263
4,435000,4252160992,16692077,Maroon 5 - Sugar (Official Music Video),"Buy Sugar on iTunes: http://smarturl.it/M5V

Sign up for updates: http://smarturl.it/Maroon5.News

Catch Maroon 5 on tour all year long  at www.maroon5.com

Music video by Maroon 5 performing Sugar. (C) 2015 Interscope Records",Maroon 5,maroon sugar maroon she will be loved maroon one more night maroon payphone sugar maroon karaoke sugar lyrics maroon sugar lyrics sugar maroon sugar maroon lyrics maroon five sugar maroon subtitulada español marron adam levine マルーン5 한글자막 日本語字幕 subtítulos en español Türkçe Altyazılı Phụ đề tiếng Việt Subtitles in Tagalog Teks dalam Bahasa Indonesia उपशीर्षक हिंदी में Sarikata Dalam 마룬5,Music,301
5,524000,4191809528,18563457,OneRepublic - Counting Stars,"Stream & Download OneRepublic’s latest album “Human”: https://OneRepublic.lnk.to/Human

Listen to OneRepublic:
Spotify: http://smarturl.it/1RSpotify 
Apple Music: https://apple.co/3B4u43p 

Shop OneRepublic: http://smarturl.it/1RShop
Sign up for email updates: http://smarturl.it/1REmail
Listen to OneRepublic on Spotify: http://smarturl.it/1RSpotify
Catch OneRepublic on tour: https://www.onerepublic.com/tour

Follow OneRepublic:
Facebook: https://www.facebook.com/OneRepublic
Twitter: https://twitter.com/OneRepublic
Instagram: https://www.instagram.com/onerepublic

#OneRepublic #CountingStars

Music video by OneRepublic performing Counting Stars. (C) 2013 Mosley Music/Interscope Records",OneRepublic,OneRepublic One Republic 1Republic Counting Stars Secrets Good Life All The Right Moves Love Runs Out Rescue Me Let's Hurt Tonight Wherever Go If Lose Myself Stop and Stare Kids Rich Love Wanted Something Need Lived Run Run Run Run Someday Pop Music Top Pop Music Pop Rock Best Rock Popular Music Ryan Tedder Better Days Wild Life Didn't Human New One Republic New OneRepublic Music 한글자막 คำบรรยายภาษาไทย,Music,283
6,889000,3977334873,17227869,Justin Bieber - Sorry (PURPOSE : The Movement),"‘Purpose’ Available Everywhere Now!
iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 
Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?IQid=VEVO1113 
Google Play: http://smarturl.it/gPurpose?IQid=VEVO1113 
Amazon: http://smarturl.it/aPurpose?IQid=VEVO1113 

Produced by: BLOOD and Skrillex

Director: Parris Goebel
Producer: Justin Bieber, Scott ""Scooter"" Braun and Parris Goebel
Animator: John Hwang 
Production Company: SB Films and Taktix Films
Choreographer: Parris Goebel
Dancers: The Ladies of ReQuest & The Royal Family Dance Crews from The Palace Dance Studio, NZ


Follow Justin:
http://facebook.com/justinbieber
http://twitter.com/justinbieber
http://instagram.com/justinbieber
http://shots.com/justinbieber 
http://fahlo.me/justinbieber
And sign up to Justin’s newsletter: http://justinbiebermusic.com
Snapchat: rickthesizzler
 
Lyrics: Sorry – Justin Bieber
 
You gotta go and get 
Angry at all of my honesty
You know I try but I don't do too well with apologies 
I hope I don't run out of Time could someone call the referee
Cause I just need one more shot at forgiveness 
 
I know you know that I 
made those mistakes maybe once or twice 
And by once or twice I Mean 
Maybe a couple a hundred times 
So let me oh let me 
Redeem oh redeem oh my self tonight 
Cause I just need one more shot at second chances 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
I’m sorry yeah
Sorry yeah
Sorry
Yeah I know that I let you down
Is it too late to say I’m sorry now
 
I'll take every single piece of the blame 
If you want me too 
But you know that there is no innocent one in this game for two
I'll go I'll go and then 
You go you go out and spill the truth 
Can we both say the words and forget this 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I'm not just trying to get you back on me
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now  

http://vevo.ly/Uf3y0K

©: 2015 Def Jam Recordings, a division of UMG Recordings, Inc.

#JustinBieber #Sorry #Vevo #Pop #Purpose",Justin Bieber,justin bieber let me love you justin bieber baby justin bieber love yourself justin bieber songs justin bieber cold water justin bieber sorry justin bieber sorry justin bieber lyrics sorry acoustic justin bieber sorry justin bieber live sorry justin bieber acoustic sorry purpose sorry purpose Justin Bieber purpose the movement justin bieber the movement sorry justin bieber sorry sorry song songs ジャスティンビーバー baby justin bieber sorry justin bieber ft j balvin,Music,205
7,569000,3970283603,22740528,Ed Sheeran - Perfect (Official Music Video),"The official music video for Ed Sheeran - Perfect 
 
Taken from the studio album ÷ (divide) released in 2017, which featured the hit singles 'Castle on the Hill', 'Shape of You', 'Galway Girl', ‘Perfect’ & 'Happier'. 
 
Subscribe to the Ed Sheeran channel for all the best and latest official music videos, behind the scenes and live performances.  
http://bit.ly/SubscribeToEdSheeran 
 
See more official videos from Ed Sheeran here: 
https://www.youtube.com/watch?v=ryJgDL9jzKk&list=PLjp0AEEJ0-fGKG_3skl0e1FQlJfnx-TJz 

Listen to more from the album ÷ (divide): https://www.youtube.com/playlist?list=PLjp0AEEJ0-fGi7bkjrGhBLUF9NMraL9cL 
 
Follow Ed Sheeran on: 
Instagram: http://instagram.com/teddysphotos
TikTok: https://www.tiktok.com/@edsheeran
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Discord: http://discord.gg/edsheeran
Official Website: http://edsheeran.com 
  
VIDEO CREDITS: 
 
Director | dp Jason Koenig  
Producer: Honna Kimmerer  
Starring: Ed Sheeran & Zoey Deutch  
Director of Photography: Johnny Valencia  
Production Company: Anonymous Content  
Exec Producer: Nina Soriano  
Production Manager: Doug Hoff  
Commissioner: Dan Curwin  
Production Designer: John Lavin  
Lead Casting: Amy Hubbard  
Written by: Jason Koenig, Ed Sheeran, Jenny Koenig, Andrew Kolvet, Murray Cummings  
Edited by: Jason Koenig & Johnny Valencia  
VFX: Ian Hubert  
Graphic design by Chris Ballasciotes  
Cast: Bo Valencia, Dennis Ranalta, Arthur Pauli  
Ski Cinematography: Corey Koniniec  
Specialty Camera op: Ryan Haug  
1st AC: Ryan Brown  
1st Assistant Director: Ole Zapatka  
Art Director: Klaus Hartl  
Snow fx: Lucien Stephenson  
Gaffer: Thomas Berz  
Stylist: Claudia Lajda  
Hair & Makeup: Christel Thoresen  
Austrian Casting: Ursula Kiplinger  
Additional VFX: Zoic   

Special Thanks to: The Hintertux Glacier, Austria; Hohenhaus Tenne, and Hotel Neuhintertux 
 
About Ed Sheeran: 
Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing', ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Paulo Londra’, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’. 
 
#EdSheeran #Perfect #divide",Ed Sheeran,Ed Sheeran Perfect Ed Sheeran Perfect Ed Sheeran Official Video Perfect Official Video Ed Sheeran music Ed Sheeran Lyrics Perfect Lyrics Ed Sheeran 2017 divide Ed Sheeran divide Ed Sheeran third album Ed Sheeran 3rd album Ed Sheeran songs Pop Pop Music Official Music Video Ed Sheeran Ed Sheerin EdSheeran Ed Sheran English Songs English Song I Found a Love Dancing In the dark you look perfect tonight एड शीरन बेमिसाल उत्कृष्ट,Music,282
8,386000,3898628099,15697074,Ed Sheeran - Thinking Out Loud (Official Music Video),"The official music video for Ed Sheeran - Thinking Out Loud
 
Ed learnt to dance! Featuring and taught by @dance10Brittany and @dance10Paul

Go behind the scenes of the video: http://bit.ly/ThinkingOutLoudBTS

Taken from the studio album X (multiply) released in 2014, which featured the hit singles 'Sing', 'Don't', 'Thinking Out Loud', 'Bloodstream', & 'Photograph'. 
 
Subscribe to the Ed Sheeran channel for all the best and latest official music videos, behind the scenes and live performances.  
http://bit.ly/SubscribeToEdSheeran 
 
See more official videos from Ed Sheeran here: 
https://www.youtube.com/watch?v=ryJgDL9jzKk&list=PLjp0AEEJ0-fGKG_3skl0e1FQlJfnx-TJz 

Listen to more from the album x (multiply): 
https://www.youtube.com/playlist?list=PLjp0AEEJ0-fEuKWBJV30ebHCGoi1Ny69U
 
Follow Ed Sheeran on: 
Instagram: http://instagram.com/teddysphotos
TikTok: https://www.tiktok.com/@edsheeran
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Discord: http://discord.gg/edsheeran
Official Website: http://edsheeran.com 
  
About Ed Sheeran: 
Ed Sheeran may be the quintessential pop star of the 2010s: an internationally acclaimed, multi-award winning singer/songwriter who seems to acknowledge no boundaries between styles or eras with elements of folk, hip-hop, pop, dance, soul, and rock woven throughout his music. 

His incredible catalogue includes the studio albums ‘+’ (plus), ‘x’ (multiply) and ‘÷’ (divide) which spawned hit singles such as ‘The A team’ , ’Lego House’, ‘Sing', ‘Thinking Out Loud’, ‘Photograph’, ‘Shape Of You’, ‘Castle on The Hill’ and ‘Perfect’. 
 
In 2019, Ed Sheeran released the genre-spanning ‘No.6 Collaborations Project’ which featured a wide-range of artists including ‘Justin Bieber’, ‘Camilla’ Cabello’, ‘Travis Scott’, ‘Eminem’, ‘Cardi B, ‘Paulo Londra’, ‘Bruno Mars’ and ‘Stormzy’ amongst many others, producing hits such as ‘I Don’t Care’, ‘Beautiful People’, ‘South of The Border’ and ‘Take Me Back To London’. 
 
#EdSheeran #ThinkingOutLoud #multiply",Ed Sheeran,Ed Sheeran Thinking Out Loud Ed Sheeran Thinking Out Loud Thinking Out Loud Song Ed Sheeran Official Video Thinking Out Loud Official Video Ed Sheeran music Ed Sheeran Lyrics Thinking Out Loud Lyrics Ed Sheeran 2014 Ed Sheeran Dancing multiply Ed Sheeran second album Ed Sheeran 2nd album Ed Sheeran songs Pop Pop Music Ed Sheeran Ed Sheerin EdSheeran Ed Sheran English Songs English Song we found love love song एड शीरन ज़ोर से सोच रहा हूँ,Music,289
9,527000,3850979432,17892903,Passenger | Let Her Go (Official Video),"The new album 'All The Little Lights (Anniversary Edition) Out Now from:  https://www.passengermusic.com 

For all things Passenger head to: 
https://linktr.ee/passengermusic


***

The official video for 'Let Her Go' – Directed and Produced by Dave Jansen. www.funmonkey.com.au

""Let Her Go"" [Lyrics]

Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go
And you let her go

Staring at the bottom of your glass
Hoping one day you'll make a dream last
But dreams come slow and they go so fast

You see her when you close your eyes
Maybe one day you'll understand why
Everything you touch surely dies

But you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

Staring at the ceiling in the dark
Same old empty feeling in your heart
'Cause love comes slow and it goes so fast

Well you see her when you fall asleep
But never to touch and never to keep
'Cause you loved her too much
And you dived too deep

Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go
And you let her go
Well you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go

Follow Passenger
Online: https://passengermusic.com
Facebook: https://Passenger.lnk.to/FacebookID
Twitter: https://Passenger.lnk.to/TwitterID
Instagram: https://Passenger.lnk.to/InstaID
Spotify: https://Passenger.lnk.to/SpotifyID
Apple Music: https://Passenger.lnk.to/AppleMusicID
YouTube: https://Passenger.lnk.to/YouTubeID",Passenger,Passenger Ed Sheeran (Musical Artist) Video Clip boy & bear Live Music Performance Concert wrong direction flight of the crow All The Little Lights All The Little Lights Let Her Go Let Her Go Official Music Video Ed Sheeran Mike Rosenberg Ed Sheeran Mike Rosenberg Nettwerk Records Nettwerk Budweiser (Beer) superbowl superbowl ad superbowl commercial commercial tv spot Puppy (Animal) horse best buds #bestbuds let her go music video let her go video,Music,254
10,1300000,3832474790,29251620,Alan Walker - Faded,"A new chapter is open. Welcome to the World of Walker.... 
https://www.worldofwalker.com 

Thanks for all the love Walkers!

- Alan

Remember to subscribe to the channel and turn on 🔔

//////////////// 

Lyrics:
You were the shadow of my light
Did you feel us
Another start
You fade away
Afraid our aim is out of sight
Wanna see us
Alive
Where are you now
Where are you now
Where are you now
Was it all in my fantasy
Where are you now
Were you only imaginary
Where are you now
Atlantis
Under the sea
Under the sea
Where are you now
Another dream
The monsters running wild inside of me
I'm faded
I'm faded
So lost
I'm faded
I'm faded
So lost
I'm faded
These shallow waters, never met
What I needed
I'm letting go
A deeper dive
Eternal silence of the sea
I'm breathing
Alive
Where are you now
Where are you now
Under the bright
But faded lights
You set my heart on fire
Where are you now
Where are you now
Where are you now
Atlantis
Under the sea
Under the sea
Where are you now
Another dream
The monsters running wild inside of me
I'm faded
I'm faded
So lost
I'm faded
I'm faded
So lost
I'm faded

//////////////// 

Listen to Walkerverse Pt. 1 here:
https://alanwalker.lnk.to/WalkerversePt1

Experience the playlist for Walkerverse Pt. 1 here: https://youtube.com/playlist?list=PLYT4vq6pQVSsPGIkBqrFDux-fKZXSSZ9g

//////////////// 

CREDITS:
Vocalist: Iselin Solheim
Video Location: Tallinn, Estonia
Video produced by: Bror Bror
Directors: Rikkard & Tobias Häggbom
D.O.P: Rikkard Häggbom
Edit and grading: Bror Bror
Actor: Shahab Salehi

//////////////// 

Connect with me 📲
👉Join the W41K3R5: https://w41k3r.com/
👉Instagram: https://www.instagram.com/alanwalkerm... 
👉TikTok: https://www.tiktok.com/@alanwalkermusic 
👉Facebook: https://www.facebook.com/alanwalkermusic 
👉Twitter: https://twitter.com/IAmAlanWalker 
👉Snapchat: https://www.snapchat.com/add/alanwalk... 
👉Discord: https://discord.gg/alanwalker

👕 Official Merchandise: https://store.alanwalker.com/

🎵Listen & Follow WalkerverseRadio here: https://AlanWalker.lnk.to/WalkerRadio

#Faded #AlanWalker #YouAreNotAlone

© 2015 Alan Walker & MER Musikk
℗ 2015 Sony Music Entertainment Sweden AB",Alan Walker,alan walker faded faded alan walker alan walker faded faded song faded lyrics alan walker faded lyrics faded 1 hour alan walker songs world of walker alan walker 2020 alan walker fade fade alan walker faded meaning alan walker faded song alan walker faded videos alan walker faded remix alan walker faded live alan walker faded bpm walkerverse Smurfcat heart over mind thick of it all julia michaels joe jonas,Music,213
